countryiso3code,country_name,date,indicator_id,indicator_name,value
DEU,Germany,2010,SP.POP.TOTL,"Population, total",81842187
DEU,Germany,2011,SP.POP.TOTL,"Population, total",81959172
DEU,Germany,2012,SP.POP.TOTL,"Population, total",82061715
DEU,Germany,2013,SP.POP.TOTL,"Population, total",82154752
DEU,Germany,2014,SP.POP.TOTL,"Population, total",82245609
DEU,Germany,2015,SP.POP.TOTL,"Population, total",82342216
DEU,Germany,2016,SP.POP.TOTL,"Population, total",82451158
DEU,Germany,2017,SP.POP.TOTL,"Population, total",82576065
DEU,Germany,2018,SP.POP.TOTL,"Population, total",82716706
DEU,Germany,2019,SP.POP.TOTL,"Population, total",82869037
DEU,Germany,2020,SP.POP.TOTL,"Population, total",83026183
DEU,Germany,2021,SP.POP.TOTL,"Population, total",83180110
DEU,Germany,2022,SP.POP.TOTL,"Population, total",83323598
DEU,Germany,2023,SP.POP.TOTL,"Population, total",83452010
DEU,Germany,2024,SP.POP.TOTL,"Population, total",83564436
ESP,Spain,2010,SP.POP.TOTL,"Population, total",46614065
ESP,Spain,2011,SP.POP.TOTL,"Population, total",46750611
ESP,Spain,2012,SP.POP.TOTL,"Population, total",46879211
ESP,Spain,2013,SP.POP.TOTL,"Population, total",47002653
ESP,Spain,2014,SP.POP.TOTL,"Population, total",47125111
ESP,Spain,2015,SP.POP.TOTL,"Population, total",47251129
ESP,Spain,2016,SP.POP.TOTL,"Population, total",47384509
ESP,Spain,2017,SP.POP.TOTL,"Population, total",47527370
ESP,Spain,2018,SP.POP.TOTL,"Population, total",47679623
ESP,Spain,2019,SP.POP.TOTL,"Population, total",47838974
ESP,Spain,2020,SP.POP.TOTL,"Population, total",48001478
ESP,Spain,2021,SP.POP.TOTL,"Population, total",48162499
ESP,Spain,2022,SP.POP.TOTL,"Population, total",48317841
ESP,Spain,2023,SP.POP.TOTL,"Population, total",48464784
ESP,Spain,2024,SP.POP.TOTL,"Population, total",48602761
FRA,France,2010,SP.POP.TOTL,"Population, total",65079398
FRA,France,2011,SP.POP.TOTL,"Population, total",65302572
FRA,France,2012,SP.POP.TOTL,"Population, total",65514848
FRA,France,2013,SP.POP.TOTL,"Population, total",65720107
FRA,France,2014,SP.POP.TOTL,"Population, total",65924177
FRA,France,2015,SP.POP.TOTL,"Population, total",66133417
FRA,France,2016,SP.POP.TOTL,"Population, total",66353158
FRA,France,2017,SP.POP.TOTL,"Population, total",66586386
FRA,France,2018,SP.POP.TOTL,"Population, total",66832994
FRA,France,2019,SP.POP.TOTL,"Population, total",67089785
FRA,France,2020,SP.POP.TOTL,"Population, total",67351241
FRA,France,2021,SP.POP.TOTL,"Population, total",67610858
FRA,France,2022,SP.POP.TOTL,"Population, total",67862741
FRA,France,2023,SP.POP.TOTL,"Population, total",68103056
FRA,France,2024,SP.POP.TOTL,"Population, total",68330990
ITA,Italy,2010,SP.POP.TOTL,"Population, total",59324720
ITA,Italy,2011,SP.POP.TOTL,"Population, total",59231556
ITA,Italy,2012,SP.POP.TOTL,"Population, total",59128013
ITA,Italy,2013,SP.POP.TOTL,"Population, total",59017730
ITA,Italy,2014,SP.POP.TOTL,"Population, total",58906016
ITA,Italy,2015,SP.POP.TOTL,"Population, total",58798547
ITA,Italy,2016,SP.POP.TOTL,"Population, total",58699976
ITA,Italy,2017,SP.POP.TOTL,"Population, total",58612799
ITA,Italy,2018,SP.POP.TOTL,"Population, total",58536752
ITA,Italy,2019,SP.POP.TOTL,"Population, total",58468883
ITA,Italy,2020,SP.POP.TOTL,"Population, total",58404283
ITA,Italy,2021,SP.POP.TOTL,"Population, total",58337287
ITA,Italy,2022,SP.POP.TOTL,"Population, total",58262869
ITA,Italy,2023,SP.POP.TOTL,"Population, total",58177864
ITA,Italy,2024,SP.POP.TOTL,"Population, total",58081734
MAR,Morocco,2010,SP.POP.TOTL,"Population, total",32369198
MAR,Morocco,2011,SP.POP.TOTL,"Population, total",32739136
MAR,Morocco,2012,SP.POP.TOTL,"Population, total",33107407
MAR,Morocco,2013,SP.POP.TOTL,"Population, total",33475896
MAR,Morocco,2014,SP.POP.TOTL,"Population, total",33847545
MAR,Morocco,2015,SP.POP.TOTL,"Population, total",34225668
MAR,Morocco,2016,SP.POP.TOTL,"Population, total",34613146
MAR,Morocco,2017,SP.POP.TOTL,"Population, total",35011719
MAR,Morocco,2018,SP.POP.TOTL,"Population, total",35421538
MAR,Morocco,2019,SP.POP.TOTL,"Population, total",35841107
MAR,Morocco,2020,SP.POP.TOTL,"Population, total",36267626
MAR,Morocco,2021,SP.POP.TOTL,"Population, total",36697669
MAR,Morocco,2022,SP.POP.TOTL,"Population, total",37128033
MAR,Morocco,2023,SP.POP.TOTL,"Population, total",37556547
MAR,Morocco,2024,SP.POP.TOTL,"Population, total",37982651
POL,Poland,2010,SP.POP.TOTL,"Population, total",38073151
POL,Poland,2011,SP.POP.TOTL,"Population, total",38032397
POL,Poland,2012,SP.POP.TOTL,"Population, total",37984924
POL,Poland,2013,SP.POP.TOTL,"Population, total",37933061
POL,Poland,2014,SP.POP.TOTL,"Population, total",37880217
POL,Poland,2015,SP.POP.TOTL,"Population, total",37830042
POL,Poland,2016,SP.POP.TOTL,"Population, total",37785534
POL,Poland,2017,SP.POP.TOTL,"Population, total",37748311
POL,Poland,2018,SP.POP.TOTL,"Population, total",37718213
POL,Poland,2019,SP.POP.TOTL,"Population, total",37693347
POL,Poland,2020,SP.POP.TOTL,"Population, total",37670555
POL,Poland,2021,SP.POP.TOTL,"Population, total",37646185
POL,Poland,2022,SP.POP.TOTL,"Population, total",37616989
POL,Poland,2023,SP.POP.TOTL,"Population, total",37580915
POL,Poland,2024,SP.POP.TOTL,"Population, total",37537606
PRT,Portugal,2010,SP.POP.TOTL,"Population, total",10581537
PRT,Portugal,2011,SP.POP.TOTL,"Population, total",10570210
PRT,Portugal,2012,SP.POP.TOTL,"Population, total",10557016
PRT,Portugal,2013,SP.POP.TOTL,"Population, total",10542602
PRT,Portugal,2014,SP.POP.TOTL,"Population, total",10527915
PRT,Portugal,2015,SP.POP.TOTL,"Population, total",10513970
PRT,Portugal,2016,SP.POP.TOTL,"Population, total",10501600
PRT,Portugal,2017,SP.POP.TOTL,"Population, total",10491255
PRT,Portugal,2018,SP.POP.TOTL,"Population, total",10482890
PRT,Portugal,2019,SP.POP.TOTL,"Population, total",10475979
ITA,Italy,2015,SP.POP.TOTL,"Population, total",58798547
ITA,Italy,2016,SP.POP.TOTL,"Population, total",58699976
ITA,Italy,2017,SP.POP.TOTL,"Population, total",58612799
ITA,Italy,2018,SP.POP.TOTL,"Population, total",58536752
ITA,Italy,2019,SP.POP.TOTL,"Population, total",58468883
ITA,Italy,2020,SP.POP.TOTL,"Population, total",58404283
ITA,Italy,2021,SP.POP.TOTL,"Population, total",58337287
ITA,Italy,2022,SP.POP.TOTL,"Population, total",58262869
ITA,Italy,2023,SP.POP.TOTL,"Population, total",58177864
